,u,v,u_name,v_name,u_coords,v_coords,dist,train_co2,airplane_co2,car_co2,modes
54,39,40,Mallorca,Eastbourne,"(39.613432, 2.8829184529439633)","(None, None)",4396.412126438038,0.06154976977013253,1.2529774560348408,0.8529039525289794,[<Mode.AIRPLANE: 0>]
55,40,41,Eastbourne,London,"(None, None)","(51.52378255, -0.1399490000000005)",5710.373460836557,0.0799452284517118,1.6274564363384185,1.1078124514022918,[<Mode.AIRPLANE: 0>]
56,41,42,London,Hamburg,"(51.52378255, -0.1399490000000005)","(53.550341, 10.000654)",723.337039078029,0.010126718547092404,0.20615105613723825,0.1403273855811376,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
57,41,43,London,Newport,"(51.52378255, -0.1399490000000005)","(41.4899827, -71.3137707)",5352.7270011207975,0.07493817801569116,1.5255271953194274,1.0384290382174346,[<Mode.AIRPLANE: 0>]
58,41,44,London,Gstaad,"(51.52378255, -0.1399490000000005)","(46.4761004, 7.2873587)",780.5687590125231,0.010927962626175323,0.22246209631856906,0.15143033924842947,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
59,41,45,London,Bastad,"(51.52378255, -0.1399490000000005)","(56.4267895, 12.8607151)",1010.1853551638974,0.014142594972294564,0.28790282622171076,0.1959759589017961,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
60,42,46,Hamburg,Kitzbuhel,"(53.550341, 10.000654)","(47.4463585, 12.3911473)",699.7536567754811,0.009796551194856737,0.19942979218101212,0.13575220941444333,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
61,43,46,Newport,Kitzbuhel,"(41.4899827, -71.3137707)","(47.4463585, 12.3911473)",6363.474457158421,0.08908864240021788,1.8135902202901497,1.2345140446887335,[<Mode.AIRPLANE: 0>]
62,44,46,Gstaad,Kitzbuhel,"(46.4761004, 7.2873587)","(47.4463585, 12.3911473)",403.0658424105303,0.005642921793747425,0.11487376508700113,0.07819477342764289,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
63,45,46,Bastad,Kitzbuhel,"(56.4267895, 12.8607151)","(47.4463585, 12.3911473)",999.7286138765716,0.013996200594272002,0.2849226549548229,0.19394735109205488,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
