,index,date,venue,name,winner,cat,from,to,from_dt,to_dt,city,country,continent,idx
28,31,"8 - 19 May, 2024","Rome, Italy",Internazionali BNL d'Italia,,ATP 1000,"08 May, 2024","19 May, 2024",2024-05-08,2024-05-19,Rome,Italy,Europe,19
29,32,"19 - 25 May, 2024","Geneva, Switzerland",Gonet Geneva Open,,ATP 250,"19 May, 2024","25 May, 2024",2024-05-19,2024-05-25,Geneva,Switzerland,Europe,20
30,33,"19 - 25 May, 2024","Lyon, France",Open Parc Auvergne-Rhone-Alpes Lyon,,ATP 250,"19 May, 2024","25 May, 2024",2024-05-19,2024-05-25,Lyon,France,Europe,20
31,34,"26 May - 9 June, 2024","Paris, France",Roland Garros,,Grand Slam,"26 May, 2024","09 June, 2024",2024-05-26,2024-06-09,Paris,France,Europe,21
32,35,"10 - 16 June, 2024","Stuttgart, Germany",BOSS OPEN,,ATP 250,"10 June, 2024","16 June, 2024",2024-06-10,2024-06-16,Stuttgart,Germany,Europe,22
33,36,"10 - 16 June, 2024","'s-Hertogenbosch, Netherlands",Libema Open,,ATP 250,"10 June, 2024","16 June, 2024",2024-06-10,2024-06-16,'s-Hertogenbosch,Netherlands,Europe,22
34,37,"17 - 23 June, 2024","London, Great Britain",Cinch Championships,,ATP 500,"17 June, 2024","23 June, 2024",2024-06-17,2024-06-23,London,Great Britain,Europe,23
35,38,"17 - 23 June, 2024","Halle, Germany",Terra Wortmann Open,,ATP 500,"17 June, 2024","23 June, 2024",2024-06-17,2024-06-23,Halle,Germany,Europe,23
36,39,"23 - 29 June, 2024","Mallorca, Spain",Mallorca Championships,,ATP 250,"23 June, 2024","29 June, 2024",2024-06-23,2024-06-29,Mallorca,Spain,Europe,24
37,40,"24 - 29 June, 2024","Eastbourne, Great Britain",Rothesay International,,ATP 250,"24 June, 2024","29 June, 2024",2024-06-24,2024-06-29,Eastbourne,Great Britain,Europe,25
38,41,"1 - 14 July, 2024","London, Great Britain",Wimbledon,,Grand Slam,"01 July, 2024","14 July, 2024",2024-07-01,2024-07-14,London,Great Britain,Europe,26
39,42,"15 - 21 July, 2024","Hamburg, Germany",Hamburg Open,,ATP 500,"15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,Hamburg,Germany,Europe,27
40,43,"15 - 21 July, 2024","Newport, United States",Infosys Hall of Fame Open,,ATP 250,"15 July, 2024","21 July, 2024",2024-07-15,2024-07-21,Newport,United States,North America,27
